likes,main_category,no_faces,avg_age,when,adult_score,color_fg,color_bg,woman,person,clothing,girl,sky,outdoor,art,fashion,food,design,tree,ground,vacation,street,indoor,winter,posing,city
321112,people,0,0,4,0.0050703175365924835,Pink,Pink,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245154,building,0,0,5,0.0034980420023202896,White,Grey,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
279328,others,1,53.0,13,0.004772189073264599,White,Black,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
299499,people,0,0,15,0.06988058984279633,Black,Pink,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
314749,others,0,0,17,0.004627025220543146,Grey,Black,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
359672,indoor,0,0,25,0.014168448746204376,Pink,Pink,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
320286,abstract,0,0,29,0.56220942735672,Grey,Grey,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280828,others,0,0,35,0.07425449788570404,Black,White,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
289101,outdoor,0,0,41,0.11076456308364868,Black,Grey,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
285725,outdoor,0,0,42,0.39958325028419495,Black,Grey,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
249497,outdoor,0,0,42,0.004100834019482136,Grey,Grey,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308938,food,0,0,43,0.0014327698154374957,White,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
353655,people,1,24.0,50,0.30342385172843933,Black,Purple,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306558,None,0,0,64,0.00032593630021438,Yellow,White,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
312953,others,3,30.666666666666668,66,0.00813923217356205,White,White,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359016,outdoor,1,25.0,71,0.0015099489828571677,White,White,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
324183,others,1,23.0,71,0.0016298152040690184,Black,Pink,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
263805,others,0,0,72,0.0676010474562645,White,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
253211,others,0,0,73,0.13884223997592926,White,White,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
404418,people,1,21.0,75,0.026050539687275887,Black,White,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
286225,others,1,22.0,77,0.029140030965209007,Black,Black,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
298640,abstract,1,24.0,77,0.009691241197288036,Black,Black,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345783,others,0,0,84,0.02083723247051239,Black,Black,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220598,abstract,0,0,90,0.011269145645201206,White,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
334442,others,0,0,96,0.01170614454895258,Black,Black,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
347939,outdoor,1,31.0,97,0.012809847481548786,Grey,Grey,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
272511,others,0,0,99,0.048566535115242004,Blue,Blue,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
267687,others,0,0,99,0.25876563787460327,Black,Yellow,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
335409,people,1,25.0,104,0.0017915790667757392,Black,Black,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
239291,outdoor,0,0,108,0.0018464166205376387,Grey,Grey,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
290130,people,2,25.5,109,0.0022698170505464077,Black,White,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
232165,others,1,24.0,109,0.0038543229456990957,Black,White,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
288476,others,0,0,112,0.12211555987596512,Black,Grey,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363407,people,2,17.5,120,0.009730711579322815,Pink,Grey,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210687,others,1,26.0,124,0.00316256913356483,Pink,Blue,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
330652,outdoor,1,23.0,125,0.012276554480195045,Black,Grey,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
238807,others,0,0,126,0.015964439138770103,White,White,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
334827,people,1,29.0,127,0.004258225206285715,Black,White,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
273787,others,0,0,130,0.035973407328128815,Black,White,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
339006,plant,1,24.0,130,0.002729767933487892,Brown,Brown,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
324683,people,5,29.6,133,0.022648783400654793,Black,Red,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
341336,outdoor,1,27.0,134,0.0029142899438738823,Black,Grey,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
370045,building,1,25.0,136,0.005466668400913477,White,White,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
298699,building,0,0,137,0.0015543309273198247,Black,Black,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
325906,others,0,0,138,0.014680463820695877,Red,Black,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
264952,others,0,0,145,0.005730663891881704,Black,White,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
341215,others,1,21.0,147,0.0252874493598938,Red,Blue,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
336921,plant,0,0,149,0.002583208493888378,White,Brown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269683,others,0,0,150,0.014878259040415287,Black,Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
296982,others,1,21.0,154,0.013431449420750141,Black,Black,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
392531,people,1,23.0,154,0.002945930464193225,Red,Black,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
314898,plant,0,0,160,0.00682130316272378,Black,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263156,abstract,0,0,164,0.010667952708899975,Black,Pink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288047,people,1,24.0,165,0.014891574159264565,White,White,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
267562,abstract,0,0,182,0.12325038760900497,Yellow,Yellow,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253778,abstract,0,0,187,0.0023079824168235064,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316056,others,0,0,188,0.0031460647005587816,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
367592,outdoor,1,22.0,193,0.004848056472837925,White,White,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
320799,outdoor,0,0,205,0.009759261272847652,Black,Blue,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
307599,people,3,22.666666666666668,206,0.07598031312227249,Black,Grey,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353831,outdoor,1,27.0,207,0.00364448013715446,Black,Grey,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
259772,others,0,0,208,0.0007820733007974923,White,Brown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
296042,None,0,0,209,0.027636976912617683,Green,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365223,others,1,24.0,211,0.004667960572987795,Red,White,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
307199,others,0,0,212,0.005152098834514618,Pink,Pink,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337757,people,1,26.0,218,0.00686609884724021,Black,Grey,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
344746,others,1,27.0,223,0.3149706721305847,Black,Purple,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
224852,outdoor,0,0,240,0.0038094751071184874,Grey,Blue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
344315,abstract,0,0,240,0.0762559100985527,White,White,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
265244,others,1,22.0,240,0.027516933158040047,Black,Black,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
325193,people,1,22.0,242,0.18552811443805695,Pink,White,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
322468,people,0,0,245,0.6606225967407227,Pink,Pink,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
310931,outdoor,0,0,247,0.02167666144669056,Grey,Grey,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
395925,others,1,24.0,247,0.016030162572860718,White,White,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
373242,people,1,25.0,250,0.008357587270438671,White,Black,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279814,others,1,24.0,254,0.00509021058678627,White,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214179,None,0,0,255,0.009676224552094936,Grey,Blue,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
148234,abstract,0,0,258,0.004851872567087412,Purple,Orange,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190253,people,0,0,260,0.039095986634492874,Red,White,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
339856,people,1,22.0,262,0.0242068562656641,Black,Black,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
277385,others,1,27.0,262,0.004849122371524572,Black,Black,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
226312,others,0,0,263,0.13711513578891754,Pink,White,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
309407,others,0,0,266,0.4224596321582794,Orange,White,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292836,others,1,24.0,270,0.018068045377731323,White,Black,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261461,None,0,0,270,0.006191248074173927,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224434,others,1,22.0,273,0.5228782892227173,Blue,Black,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
