age,gender,main_emotion,happiness,surprise,sadness,fear,no_people,person,indoor,clothing,man,woman,smile,outdoor,sky,human face,posing
26.0,male,happiness,0.976,0.0,0.0,0.0,5,1,1,1,1,1,1,0,0,0,0
25.0,female,happiness,1.0,0.0,0.0,0.0,5,1,1,1,1,1,1,0,0,0,0
34.0,male,neutral,0.003,0.0,0.001,0.0,5,1,1,1,1,1,1,0,0,0,0
42.0,male,happiness,0.998,0.0,0.0,0.0,5,1,1,1,1,1,1,0,0,0,0
30.0,male,happiness,1.0,0.0,0.0,0.0,5,1,1,1,1,1,1,0,0,0,0
45.0,male,happiness,0.996,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0
19.0,female,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,1,1,1,1,1,1
17.0,female,happiness,0.987,0.0,0.0,0.0,7,1,0,1,1,1,1,1,1,1,1
20.0,female,neutral,0.002,0.0,0.019,0.0,7,1,0,1,1,1,1,1,1,1,1
17.0,female,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,1,1,1,1,1,1
16.0,female,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,1,1,1,1,1,1
14.0,female,happiness,0.793,0.0,0.0,0.0,7,1,0,1,1,1,1,1,1,1,1
18.0,female,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,1,1,1,1,1,1
27.0,female,neutral,0.266,0.001,0.005,0.0,1,1,0,1,0,1,1,1,0,1,0
17.0,female,neutral,0.0,0.0,0.119,0.0,1,1,0,1,0,0,0,0,0,1,0
15.0,female,happiness,0.914,0.063,0.0,0.0,1,1,0,1,0,0,1,1,1,1,0
42.0,male,neutral,0.09,0.0,0.004,0.0,1,1,0,1,1,0,0,1,1,1,0
38.0,male,happiness,0.895,0.0,0.0,0.0,1,1,0,1,0,0,1,1,0,1,1
16.0,female,happiness,0.953,0.0,0.0,0.0,4,1,0,1,0,1,1,1,0,1,1
39.0,male,happiness,0.989,0.006,0.0,0.0,4,1,0,1,0,1,1,1,0,1,1
22.0,female,happiness,1.0,0.0,0.0,0.0,4,1,0,1,0,1,1,1,0,1,1
23.0,female,happiness,1.0,0.0,0.0,0.0,4,1,0,1,0,1,1,1,0,1,1
27.0,male,happiness,1.0,0.0,0.0,0.0,3,1,0,1,1,0,1,0,0,1,1
30.0,male,neutral,0.219,0.001,0.018,0.0,3,1,0,1,1,0,1,0,0,1,1
25.0,male,happiness,1.0,0.0,0.0,0.0,3,1,0,1,1,0,1,0,0,1,1
18.0,female,happiness,1.0,0.0,0.0,0.0,1,1,1,1,0,1,1,0,0,1,1
21.0,female,happiness,0.765,0.004,0.0,0.0,5,1,0,1,1,1,1,0,0,1,1
16.0,female,happiness,1.0,0.0,0.0,0.0,5,1,0,1,1,1,1,0,0,1,1
25.0,female,happiness,0.993,0.0,0.0,0.0,5,1,0,1,1,1,1,0,0,1,1
22.0,male,neutral,0.003,0.0,0.002,0.0,5,1,0,1,1,1,1,0,0,1,1
24.0,male,neutral,0.0,0.0,0.001,0.0,5,1,0,1,1,1,1,0,0,1,1
39.0,male,neutral,0.016,0.214,0.002,0.003,1,1,0,1,1,0,0,1,1,1,0
43.0,male,happiness,0.949,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1,1,0
40.0,male,neutral,0.017,0.009,0.006,0.001,1,1,0,1,1,0,0,1,1,1,0
18.0,female,happiness,1.0,0.0,0.0,0.0,1,1,0,1,0,0,1,1,1,1,0
41.0,male,happiness,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1,1,1,1
28.0,female,happiness,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1,1,1,1
17.0,female,happiness,0.786,0.001,0.0,0.0,1,1,0,1,0,0,1,1,0,1,0
31.0,female,happiness,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0,1,0
14.0,female,happiness,0.871,0.084,0.0,0.0,3,1,1,1,1,1,1,0,0,1,0
7.0,female,neutral,0.121,0.0,0.001,0.0,3,1,1,1,1,1,1,0,0,1,0
9.0,female,neutral,0.473,0.001,0.001,0.0,3,1,1,1,1,1,1,0,0,1,0
27.0,female,happiness,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1,1,1,1
17.0,female,happiness,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1,1,1,1
40.0,male,happiness,0.706,0.287,0.0,0.001,5,1,0,1,0,1,1,1,1,1,1
18.0,female,happiness,1.0,0.0,0.0,0.0,5,1,0,1,0,1,1,1,1,1,1
28.0,male,neutral,0.0,0.0,0.0,0.0,5,1,0,1,0,1,1,1,1,1,1
21.0,female,happiness,0.998,0.0,0.0,0.0,5,1,0,1,0,1,1,1,1,1,1
25.0,female,happiness,1.0,0.0,0.0,0.0,5,1,0,1,0,1,1,1,1,1,1
25.0,female,happiness,0.968,0.031,0.0,0.0,3,1,0,1,1,1,1,0,0,1,1
17.0,female,happiness,0.998,0.002,0.0,0.0,3,1,0,1,1,1,1,0,0,1,1
40.0,male,neutral,0.0,0.0,0.006,0.0,3,1,0,1,1,1,1,0,0,1,1
40.0,male,surprise,0.0,0.997,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0
41.0,female,neutral,0.0,0.0,0.005,0.0,2,1,1,0,0,0,0,0,0,0,0
19.0,female,happiness,0.577,0.412,0.0,0.0,1,1,0,1,0,1,1,1,0,1,1
18.0,female,surprise,0.0,0.871,0.0,0.008,1,1,0,0,0,0,0,1,0,0,0
43.0,male,surprise,0.0,0.689,0.0,0.014,2,1,0,1,1,0,0,1,0,1,0
19.0,female,surprise,0.379,0.535,0.005,0.049,2,1,0,1,1,0,0,1,0,1,0
18.0,female,happiness,0.999,0.0,0.0,0.0,3,1,0,1,0,1,1,0,0,1,0
11.0,male,neutral,0.0,0.0,0.047,0.0,3,1,0,1,0,1,1,0,0,1,0
19.0,female,happiness,1.0,0.0,0.0,0.0,3,1,0,1,0,1,1,0,0,1,0
18.0,female,neutral,0.0,0.002,0.037,0.0,1,1,1,1,0,0,0,0,0,1,0
39.0,male,neutral,0.478,0.003,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0
34.0,male,happiness,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,1,0
42.0,male,happiness,1.0,0.0,0.0,0.0,2,1,0,1,1,0,1,0,0,1,1
42.0,male,happiness,0.995,0.0,0.0,0.0,2,1,0,1,1,0,1,0,0,1,1
37.0,male,happiness,0.999,0.0,0.0,0.0,7,1,0,1,1,0,1,0,0,1,0
30.0,female,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,0,1,0,0,1,0
31.0,male,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,0,1,0,0,1,0
38.0,female,neutral,0.195,0.0,0.0,0.0,7,1,0,1,1,0,1,0,0,1,0
35.0,male,happiness,1.0,0.0,0.0,0.0,7,1,0,1,1,0,1,0,0,1,0
61.0,male,neutral,0.0,0.0,0.018,0.0,7,1,0,1,1,0,1,0,0,1,0
18.0,female,neutral,0.0,0.003,0.0,0.0,7,1,0,1,1,0,1,0,0,1,0
40.0,female,happiness,0.942,0.0,0.0,0.0,2,1,0,1,0,1,1,0,0,1,1
42.0,male,happiness,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,0,0,1,1
29.0,female,happiness,0.999,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0
38.0,male,surprise,0.0,0.582,0.001,0.412,1,1,1,0,0,0,0,0,0,0,0
25.0,female,neutral,0.032,0.0,0.001,0.0,1,1,0,1,0,1,1,1,0,1,0
41.0,male,surprise,0.0,0.982,0.0,0.012,1,1,0,0,0,0,0,1,0,0,0
19.0,female,happiness,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0
40.0,male,happiness,0.762,0.0,0.0,0.0,1,1,0,1,1,0,0,0,0,1,0
44.0,male,happiness,0.998,0.0,0.0,0.0,1,1,0,1,1,0,0,1,1,0,0
