age,gender,main_emotion,happiness,surprise,sadness,fear,no_people,person,indoor,clothing,man,woman,smile,outdoor,sky,human face,posing
31.4,,,0.7954,0.0,0.0002,0.0,5,1,1,1,1,1,1,0,0,0,0
45.0,,,0.996,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0
17.285714285714285,,,0.826,0.0,0.0027142857142857142,0.0,7,1,0,1,1,1,1,1,1,1,1
27.0,,,0.266,0.001,0.005,0.0,1,1,0,1,0,1,1,1,0,1,0
17.0,,,0.0,0.0,0.119,0.0,1,1,0,1,0,0,0,0,0,1,0
15.0,,,0.914,0.063,0.0,0.0,1,1,0,1,0,0,1,1,1,1,0
42.0,,,0.09,0.0,0.004,0.0,1,1,0,1,1,0,0,1,1,1,0
38.0,,,0.895,0.0,0.0,0.0,1,1,0,1,0,0,1,1,0,1,1
25.0,,,0.9855,0.0015,0.0,0.0,4,1,0,1,0,1,1,1,0,1,1
27.333333333333332,,,0.7396666666666668,0.0003333333333333333,0.005999999999999999,0.0,3,1,0,1,1,0,1,0,0,1,1
18.0,,,1.0,0.0,0.0,0.0,1,1,1,1,0,1,1,0,0,1,1
21.6,,,0.5522,0.0008,0.0006000000000000001,0.0,5,1,0,1,1,1,1,0,0,1,1
39.0,,,0.016,0.214,0.002,0.003,1,1,0,1,1,0,0,1,1,1,0
43.0,,,0.949,0.0,0.0,0.0,1,1,0,1,0,0,0,1,1,1,0
40.0,,,0.017,0.009,0.006,0.001,1,1,0,1,1,0,0,1,1,1,0
18.0,,,1.0,0.0,0.0,0.0,1,1,0,1,0,0,1,1,1,1,0
34.5,,,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1,1,1,1
17.0,,,0.786,0.001,0.0,0.0,1,1,0,1,0,0,1,1,0,1,0
31.0,,,1.0,0.0,0.0,0.0,1,1,1,1,0,0,1,0,0,1,0
10.0,,,0.4883333333333333,0.028333333333333335,0.0006666666666666666,0.0,3,1,1,1,1,1,1,0,0,1,0
22.0,,,1.0,0.0,0.0,0.0,2,1,0,1,0,1,1,1,1,1,1
26.4,,,0.7407999999999999,0.05739999999999999,0.0,0.0002,5,1,0,1,0,1,1,1,1,1,1
27.333333333333332,,,0.6553333333333333,0.011000000000000001,0.002,0.0,3,1,0,1,1,1,1,0,0,1,1
40.5,,,0.0,0.4985,0.0025,0.0,2,1,1,0,0,0,0,0,0,0,0
19.0,,,0.577,0.412,0.0,0.0,1,1,0,1,0,1,1,1,0,1,1
18.0,,,0.0,0.871,0.0,0.008,1,1,0,0,0,0,0,1,0,0,0
31.0,,,0.1895,0.612,0.0025,0.0315,2,1,0,1,1,0,0,1,0,1,0
16.0,,,0.6663333333333333,0.0,0.015666666666666666,0.0,3,1,0,1,0,1,1,0,0,1,0
18.0,,,0.0,0.002,0.037,0.0,1,1,1,1,0,0,0,0,0,1,0
39.0,,,0.478,0.003,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0
34.0,,,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,1,0
42.0,,,0.9975,0.0,0.0,0.0,2,1,0,1,1,0,1,0,0,1,1
35.714285714285715,,,0.5991428571428571,0.0004285714285714286,0.0025714285714285713,0.0,7,1,0,1,1,0,1,0,0,1,0
41.0,,,0.971,0.0,0.0,0.0,2,1,0,1,0,1,1,0,0,1,1
29.0,,,0.999,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0
38.0,,,0.0,0.582,0.001,0.412,1,1,1,0,0,0,0,0,0,0,0
25.0,,,0.032,0.0,0.001,0.0,1,1,0,1,0,1,1,1,0,1,0
41.0,,,0.0,0.982,0.0,0.012,1,1,0,0,0,0,0,1,0,0,0
19.0,,,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0
40.0,,,0.762,0.0,0.0,0.0,1,1,0,1,1,0,0,0,0,1,0
44.0,,,0.998,0.0,0.0,0.0,1,1,0,1,1,0,0,1,1,0,0
